fruit_name,sample_count,avg_price,min_price,max_price,std_price
Amla,438,85.5032,55.0,175.0,21.9692
Apple,4485,177.0843,55.0,383.33,78.2524
Avocado,689,406.1706,210.0,650.0,122.8913
Grapes,2649,204.7565,65.0,625.0,102.9105
Guava,977,96.5061,22.5,325.0,52.6404
Lemon,1086,46.3387,22.5,85.0,12.54
Lime,3714,299.0247,65.0,1475.0,173.4314
Mango,1803,119.2307,45.0,425.0,52.4896
Orange,6108,115.4618,35.0,310.0,38.6294
Papaya,4412,77.5065,22.5,150.0,19.5287
Pear,3084,152.0272,17.5,410.0,86.3263
Pomegranate,3630,240.6106,85.0,495.0,70.3891
Sweet Lime,23,88.8043,27.5,170.0,43.9968
Watermelon,3729,49.1801,13.5,175.0,16.9658
